13.3332 	EXP 	window1: blendMode = 'avg'
13.3500 	EXP 	window1: blendMode = 'avg'
13.3666 	EXP 	window1: blendMode = 'avg'
13.3834 	EXP 	window1: blendMode = 'avg'
13.3999 	EXP 	window1: blendMode = 'avg'
13.4166 	EXP 	window1: blendMode = 'avg'
13.4333 	EXP 	window1: blendMode = 'avg'
13.4500 	EXP 	window1: blendMode = 'avg'
13.4666 	EXP 	window1: blendMode = 'avg'
13.4836 	EXP 	window1: blendMode = 'avg'
13.5000 	EXP 	window1: blendMode = 'avg'
13.5167 	EXP 	window1: blendMode = 'avg'
13.5326 	EXP 	window1: blendMode = 'avg'
13.5501 	EXP 	window1: blendMode = 'avg'
13.5658 	EXP 	window1: blendMode = 'avg'
13.5833 	EXP 	window1: blendMode = 'avg'
13.5992 	EXP 	window1: blendMode = 'avg'
13.6167 	EXP 	window1: blendMode = 'avg'
13.6334 	EXP 	window1: blendMode = 'avg'
13.6501 	EXP 	window1: blendMode = 'avg'
13.6668 	EXP 	window1: blendMode = 'avg'
13.6825 	EXP 	window1: blendMode = 'avg'
13.7001 	EXP 	window1: blendMode = 'avg'
13.7156 	EXP 	window1: blendMode = 'avg'
13.7337 	EXP 	window1: blendMode = 'avg'
13.7502 	EXP 	window1: blendMode = 'avg'
13.7669 	EXP 	window1: blendMode = 'avg'
13.7835 	EXP 	window1: blendMode = 'avg'
13.8003 	EXP 	window1: blendMode = 'avg'
13.8168 	EXP 	window1: blendMode = 'avg'
13.8328 	EXP 	window1: blendMode = 'avg'
13.8494 	EXP 	window1: blendMode = 'avg'
13.8669 	EXP 	window1: blendMode = 'avg'
13.8834 	EXP 	window1: blendMode = 'avg'
13.9005 	EXP 	window1: blendMode = 'avg'
13.9169 	EXP 	window1: blendMode = 'avg'
13.9335 	EXP 	window1: blendMode = 'avg'
13.9498 	EXP 	window1: blendMode = 'avg'
13.9668 	EXP 	window1: blendMode = 'avg'
13.9842 	EXP 	window1: blendMode = 'avg'
14.0003 	EXP 	window1: blendMode = 'avg'
14.0167 	EXP 	window1: blendMode = 'avg'
14.0333 	EXP 	window1: blendMode = 'avg'
